Structure: Item Name, Item ID
Mud rune, 4698
Vyre noble skirt (grey), 24836
Test kebab#Lelia, 29899
Amulet of glory#6, 11978
Teak feeder, 12723
Amulet of glory#5, 11976
Chef's delight (keg)#4 pints, 5833
Amulet of glory#2, 1708
Justiciar's hand, 21797
Amulet of glory#1, 1706
Amulet of glory#4, 1712
Amulet of glory#3, 1710
Message (Theatre of Blood), 22475
Zenyte amulet (u), 19501
Jade amulet, 21111
Xeric's warrior, 22390
Golovanova fruit top, 19653
Rainbow cape#Non-binary, 29499
Stone head#Lazim, 6989
Bird book, 10173
Scorpion cage#Outpost + Monastery, 461
Clue scroll (easy) - Dig between some ominous stones in Falador, 12170
Burnt karambwan, 3148
Iron dart#(p++), 5636
Abyssal lantern#Magic, 26846
Metal key, 1839
Rotten apples, 6093
Hitpoints cape#Trimmed, 9769
Bone in vinegar#Bat wing, 7834
Scabaras' capture, 27306
Rock (The Tourist Trap), 1855
Rocking chair, 8311
Trident of the seas#Uncharged, 11908
Zamorak plateskirt, 3478
Clue scroll (easy) - Monk's residence in the far west See robe storage device, 19818
Strange slider, 28427
Jade amulet (u), 21102
Green navy slacks, 8992
Clue scroll (hard) - 07.43S 12.26E, 3534
Ground tooth, 9082
Oak shield, 22251
Magic imp box pack, 12744
Asgarnian ale (keg)#1 pint, 5779
Dashing kebbit fur, 10127
Bandos halo#Broken, 24149
Holy book page set, 13149
Volcanic whip mix, 12771
Shantay disclaimer, 1848
Bone bolts, 8882
Hunting knife, 20779
Karil's crossbow#75, 4935
Greenman's ale (barrel), 8242
Crystal bow (historical)#Full, 4214
Shield left half, 2366
Clue scroll (easy) - Search the chest in Barbarian Village, 12172
Key (The Lost Tribe), 5010
Keys, 4589
Clue scroll (easy) - Search for a crate on the ground floor of a house in Seers' Village, 3509
Zamorak icon, 8059
Burnt diary#Four pages, 7964
Banner (Saradomin), 8674
Graceful boots (Arceuus)#Worn, 13590
Blue skirt, 1011
Iron spear#(kp), 3171
Smelly sock, 27488
Leather, 1741
Wily cat#Brown, 6557
Swampbark boots, 25395
Woven top (brown), 5024
Icon (The Heart of Darkness)#Air, 29887
Angler waders, 13260
Clue scroll (elite) - 20.11N 07.41W, 12105
Team-21 cape, 4355
Tormented ornament kit, 23348
Cube part#Blue crescent, 3089
Firepit with pot#Pot, 8218
Eggshell platebody, 22351
Dark essence fragments, 7938
Mystic robe top (dusk), 23050
Uncut emerald, 1621
Crystal sapling, 23659
Bank key#1st, 13302
Teak fancy dress box (flatpack), 9866
Zamorak bracers, 10368
Floor decoration#Basic stone, 8370
Scrying pool#Raging Echoes, 30499
Dark manuscript#10, 13523
Coif, 1169
Adamant kiteshield (Saradomin), 22151
Adamant heraldic helm (Dragon), 22165
Emerald bolts, 9338
Vyvin's wine, 23106
Message (Romeo &amp; Juliet), 755
Ensouled dagannoth head#Item, 13493
Scrapey bark, 8977
Rotten cabbage, 22321
Reward token#Burgh de Rott Ramble (yellow), 10942
Graceful cape (Lovakengj)#Inventory, 13605
Clue scroll (medium) - THICKNO, 12067
Blue marionette (legs), 6878
Fossilised roots, 21590
Demonic incantations, 25798
Trailblazer relic hunter (t2) armour set, 25383
Keris partisan, 25979
Willow sapling, 5371
Chompy bird hat (ogre dragon archer), 2992
Keris#(p), 10582
Broken armour, 698
Snowball (animation item), 10509
Decorative armour (magic top)#Broken, 20495
Gilded altar#Guthix, 8068
Clue scroll (hard) - AJP3015, 28915
Metal spade#Head, 5587
Dragon thrownaxe, 20849
Dragonfruit seedling#Unwatered, 22862
Lil' zik#Lil' Zik, 22473
Zamorak monk top, 1035
Sea turtle, 397
Spell (unobtainable item)#Ice Burst, 4639
Maple longbow, 851
Unfinished broad bolt pack, 11887
Tackle box, 25580
Unholy blessing, 20223
Trailblazer banner, 25056
Map part (Thalzar), 1537
Steel battleaxe, 1365
Blue triangle, 9614
Phoenix hq key, 758
Eclipse moon helm (Last Man Standing), 29842
Echo venator bow#Charged, 30434
Dragonstone platebody, 24037
Dragon bitter (flatpack), 8524
Topiary bush#Nightmare, 20638
Clue scroll (easy) - Search the crates in a bank in Varrock, 12176
Gloves of darkness, 20134
Charged onyx, 19560
Medical gown, 430
Chest key (The Path of Glouphrie), 28573
Black wizard robe (t), 12451
Bucket of milk, 1927
Dark infinity colour kit, 12528
Clue scroll (easy) - Spin in the Varrock Castle courtyard, 12162
Training bow, 9705
Steel heraldic helm (Dragon), 8688
Paintbrush, 7756
Cooked mystery meat, 24785
Slayer's respite(m) (keg)#1 pint, 5915
Mithril fire arrow#Unlit, 2536
Redberry pie#Full, 2325
Tribal top (pink), 6371
Khazard helmet, 74
Decorative armour (gold platebody)#Normal, 4509
Dragon kiteshield (g), 22244
Sawdust, 9468
Decorative helm (red), 4071
Dragon defender#Normal, 12954
Black platelegs, 1077
Lever (Dorgesh-Kaan Agility Course)#Normal, 10991
Polycatalytic guardian stone, 30887
Imp-in-a-box#(1), 10028
Pot of cornflour, 7468
Free to play starter pack, 12955
Fresh chocolate mix, 21229
Burnt bread, 2311
Sigil of the formidable fighter#Un-attuned, 25997
Crystal staff (basic), 23898
Clan wars cape (PvP Championship)#Pointy, 21403
Blighted vengeance sack, 24621
Cabbage rune, 13680
Beekeeper's top, 25131
Rat pole#Four rats, 6777
Kourend castle teleport (tablet), 28790
Clue scroll (medium) - Beckon in Tai Bwo Wannai, 10260
Eastfloor spade, 27873
Crate (In Aid of the Myreque), 7630
Edern's journal, 6649
Mahogany bookcase (flatpack), 8514
Musketeer pants, 12443
Rune thrownaxe, 805
Pushup (unobtainable item), 10946
Spider on shaft (raw), 6295
Oak lectern, 8334
Opal dragon bolts (e), 21932
Farmer (interface item), 3243
Zamorak's unfermented wine, 20752
Rune kiteshield (HAM), 8726
Sapphire key#Halloween, 20769
Clue nest (elite), 19718
Ahrim's hood#(broken), 4860
Bunny top, 13663
Rake head, 5348
Bob the cat slippers, 27806
Stripy feather, 10087
Broken cauldron, 9591
Corrupted volatile nightmare staff, 29602
Yew seed, 5315
Blue icon#Split, 25220
Cooked moonlight antelope, 29143
Burnt batta, 2247
Karambwanji paste#Cooked, 3156
Diamond bracelet, 11092
Clan vexillum#Black, 25721
Karil's crossbow#25, 4937
Koriff's headband#Normal, 26737
Yellow goblin mail, 9056
Magnet (Witch's House), 2410
Bronze dagger#(p+), 5670
Bandana eyepatch (brown), 8927
Sigil of stamina#Un-attuned, 26042
Golden apron, 20208
Shattered trousers (t1), 26433
Statius's warhammer (bh)#Inactive, 27910
Marble altar#Guthix, 8067
Banner (Dragon), 8656
Lesser demon mask, 20020
Monk's robe, 542
Clue scroll (easy) - I wouldn't wear this jean on my legs, 19820
Moonlight mead(m) (keg)#1 pint, 5891
Defender icon#Big moustache, 22727
Crystal halberd (i)#6/10, 13085
Seasoned legs, 2158
Weapon poison+ (unf), 5936
Clue scroll (easy) - Talk to Ambassador Spanfipple, 12182
Half made batta (worm), 9480
Dwarven stout(m) (keg)#3 pints, 5855
Autumn sq'irkjuice, 10850
Lime, 2120
Efh salt, 22595
Stuffed kbd heads, 7987
White platelegs, 6625
Irit leaf, 259
Zealot's boots, 25440
Karil's crossbow#50, 4936
Ruby amulet (u), 1679
Dharok's helm#(broken), 4884
Navy cavalier, 12325
A big present, 26308
Rune defender (Last Man Standing), 27185
Fairy mushroom, 25102
Rusty casket, 3849
Zadimus corpse, 610
Zamorak robe legs, 10468
Key (Treasure Trails)#Elite, 19812
Bullet arrow, 22227
Uncut dragonstone, 1631
Ranger path starter kit, 24861
Steak sandwich, 25631
Banner (Asgarnia), 8652
Teak cape rack, 9818
Beaver#Mahogany, 28236
Thick dye, 25610
Bronze brutal, 4773
Superior dragon bones, 22124
Black d'hide shield, 22284
3rd age range legs, 10332
Sacred oil#(3), 3432
Clue scroll (medium) - PACINNG A TAIE, 19734
Lunar boots, 9100
Bronze gold-trimmed set (lg), 12968
Nutcracker boots#Sweet, 27585
Amulet of avarice, 22557
Energy dolmen, 29540
Silver pot (Murder Mystery)#Dusted, 1807
Adamant crossbow (u), 9463
Knight of varlamore (item), 28977
Kitchen table, 8246
Law rune (Barbarian Assault), 11695
Vial of tears#Empty, 13347
Dragon bonemeal, 4261
Sacred oil#(2), 3434
Silly jester hat, 10836
Caviar, 11326
Karamjan rum (sliced banana), 3164
Orange pumpkin#Happy, 30273
Darklight (mounted), 8281
Rune scimitar (guthix), 23330
Rod of ivandis#(3), 7646
Gielinor's flora - hops, 23013
Catspeak amulet(e), 6544
Canopic jar#Crondis, 4681
Morrigan's javelin (Deadman Mode), 22636
Red d'hide vambraces, 2489
Rod of ivandis#(2), 7647
Mixalot#Unfinished, 30020
Herb tea mix#Marrentill, 4468
Super ranging#(4), 11722
Jug, 1935
Sacred oil#(1), 3436
Soul nerve, 28450
Graceful boots (Piscarilius)#Worn, 13602
Wintertodt parable, 13529
Vyre noble skirt (purple), 24820
Dorgesh-kaan sphere, 10972
Wizard boots, 2579
Rod of ivandis#(1), 7648
Sketch, 720
Trinket dust, 30689
Graceful legs (Adventurer)#Worn, 27455
Ancient icon, 27627
Hunter potion#(2), 10002
Rogue's revenge, 12856
Rod of ivandis#(5), 7644
Dragonstone (Mage Training Arena), 6903
Herbiboar (interface item), 21511
Pendant of ates#Charged, 29893
Mithril chainbody, 1109
Fishy easter egg, 21226
Bloodbark body, 25404
Saika's shroud#Broken, 26703
Black spear#(p++), 5736
List, 6479
Lantadyme, 2481
Elite void robe (or)#Locked, 27004
Healer icon#Mutton, 23483
Sigil of sustenance#Attuned, 28477
Terror dog (interface item), 10591
Antidote+ (unf), 5942
Pottery statuette, 9036
Dyed orange, 7514
Bone in vinegar#Baby dragon bone, 7840
Acorn, 5312
Rod of ivandis#(4), 7645
Bob's purple shirt, 10324
Imp mask, 12249
Uncooked pizza, 2287
Amethyst arrow#(unp), 21326
Butterfly net, 10010
Decorative window#Zamorak, 8077
Hunter potion#(1), 10004
Raging echoes dragon trophy, 30465
Blessed wyrm bones, 29364
Clue scroll (hard) - DEKAGRAM, 19888
Bowl of hot water, 4456
Dragon full helm, 11335
Ring of shadows#Charged, 28327
Greenmans ale(m) (keg)#4 pints, 5873
Christmas cracker, 962
Cat#Grey and blue, 1566
Swamp cave slime (interface item), 4520
Lump of crystal, 743
Purple slayer helmet, 21264
Brush, 19517
Rod of ivandis#(7), 7642
Ancient treatise, 25692
Bronze 2h sword, 1307
Premade t'd crunch, 2243
Cube part#Yellow square, 3073
Vesta's spear (bh)#Activated, 27900
Clue scroll (elite) - Does one really need a fire to stay warm here, 21525
Body rune (Barbarian Assault), 11691
Gilded platebody, 3481
Slayer's respite (keg)#2 pints, 5837
Bandos d'hide boots, 19924
Alchemist's amulet#Uncharged, 29988
Slayer task/Nechryael, 4148
Pipe (Tower of Life), 10871
Extended brush#1 cane, 4191
Dual macuahuitl (Last Man Standing), 29850
Ornate undead combat dummy#Wilderness, 25154
Wisp, 28246
Rod of ivandis#(6), 7643
Ogre tooth, 2377
Small statue#Zamorak, 8082
Decorative armour (magic legs)#Locked, 24164
Unholy book (or), 26498
Emissary sandals, 29874
Family crest (item), 782
Dragon defender#Locked, 24143
Cylinder, 6898
Sigil of the chef#Attuned, 26032
Shoe (interface item)#Elven, dark, male, 26659
Bandos crozier, 12275
Clue scroll (hard) - Often sought out by scholars of histories past, 3566
Energy disk#Level 1, 22768
Sigil of aggression#Un-attuned, 26132
Cube part#Red crescent, 3087
Pet dagannoth rex, 12645
Xeric's aid#(1), 20977
Slayer tome#Red, 7790
Ornamental globe, 8342
Rod of ivandis#(9), 7640
Steel bolts#Unpoisoned, 9141
Energy disk#Level 4, 22765
Dragonfruit seedling#Watered, 22864
Energy disk#Level 2, 22767
Vesta's blighted longsword#Active, 24617
Energy disk#Level 3, 22766
Super strength#(1), 161
Shayzien supply greaves (4), 13556
Castlewars hood (Zamorak), 4515
Coagulated venom, 29781
Spell (unobtainable item)#Weaken, 3278
Light tuxedo shoes, 19982
Tyrannical ring, 12603
Fever spider body, 6718
Lunar globe (flatpack), 8634
Puzzle box#Gnome child, 20282
Rod of ivandis#(8), 7641
Key (magenta), 1547
Starter staff, 22335
Dragon crossbow (u), 21921
Masori body (f), 27238
Elite calamity chest#Locked, 26754
Raw catfish, 25670
Shayzien supply greaves (5), 13561
Xeric's aid#(3), 20979
Bonesack, 7918
Chocolate strawberry, 11910
Defender icon#Long, 22345
Dragonstone dragon bolts (e), 21948
Cowhide, 1739
Steel knife#(unp), 865
Amulet of torture, 19553
Accursed sceptre (a)#Charged, 27679
Spell (unobtainable item)#Vengeance, 9136
Rainbow jumper#Genderqueer, 28123
Willow seedling#Unwatered, 5359
Protest banner, 25822
Guthan's chainskirt#Undamaged, 4730
The eight clans, 24057
Shadow blocker, 28367
Super strength#(3), 157
Sunflower#Sunflower, 8213
Saradomin halo#Locked, 24169
Shayzien supply greaves (2), 13546
Sharpened axe, 4444
Xeric's aid#(2), 20978
Mithril dagger#(p+), 5674
Giant bat wing#Unpolished, 7827
Orange pumpkin#Sad, 30272
Seaweed in a box, 6679
Super strength#(2), 159
Wildblood hops, 6002
Shayzien supply greaves (3), 13551
Bone in vinegar#Troll bone, 7885
Organ, 8081
Wooden bed (Mahogany Homes)#2, 24922
Wooden bed (Mahogany Homes)#1, 24922
Wooden bed (Mahogany Homes)#4, 24922
Red partyhat, 1038
Wooden bed (Mahogany Homes)#3, 24922
Wooden bed (Mahogany Homes)#5, 24922
Spell (unobtainable item)#Humidify, 11145
Magic ogre potion, 2395
Mithril hasta#(p++), 11405
Bronze defender#Locked, 24136
Blighted manta ray, 24589
Enchanted key (item), 6754
Snow imp costume head#During event, 21841
Bandit (interface item)#Desert Bandit, 4625
Gublinch shards, 10506
Clue scroll (hard) - If you look closely enough, 7254
Rivets, 10866
Blue d'hide body (t), 7376
Wooden stock, 9440
Bucket helm (g), 20059
Mithril nails, 4822
Bank key#3rd, 13304
Ent's roots, 21798
Servant's skull, 12840
Rune arrow#(unp), 892
Pulley beam, 7969
Zenyte ring, 19538
Team-3 cape, 4319
Dizana's quiver#Uncharged, 28947
Black dagger#(unp), 1217
Manor key#Halloween, 20766
Toolkit (Castle Wars), 4051
Shayzien supply greaves (1), 13541
Blue logs, 7406
Sapphire dragon bolts, 21963
Opal bolts (e), 9236
Rat pole#Five rats, 6778
Antisanta boots, 12896
Raging echoes rug (Construction)#6x6, 30501
Purple slayer helmet (i)#Soul Wars, 25185
Spider on shaft, 6299
Magic seed, 5316
1/5ths full bucket, 3726
Big swordfish, 7991
Mithril gold-trimmed set (lg), 13008
Decorative pipe, 8126
Decorative sword (red), 4068
Silver needle#Normal, 1804
Red rose seed, 6454
Antisanta's coal box#Full, 12898
Feather pack, 11881
Purple cape, 1029
Stone ball#Purple, 3112
Broken goat horn, 24547
Bronze platelegs, 1075
Herb sack#Open, 24478
Fox whistle, 28626
Cure crate, 26962
Tree bauble#Unpainted, 6840
Transportation incantations, 13537
Clue scroll (hard) - Generally speaking, his nose was very bent, 2799
Goblin book, 10999
Kebbit teeth, 10109
Sacred oil#(4), 3430
Redwood pyre logs, 19672
Gilded dresser (flatpack), 8608
Moss giant bone#Polished, 7871
Royal accord of twill#The Depths of Despair, 21758
Sigil of rampage#Un-attuned, 26135
Staff of earth, 1385
Rabbit snare, 10031
Black spiky vambraces, 10085
Avantoe seed, 5298
Treasure clue three, 26609
Medium statue#Saradomin, 8083
Keg, 10898
Lunar staff - pt2, 9092
Lunar staff - pt1, 9091
Part admiral pie (tuna), 7194
Lunar staff - pt3, 9093
Team-49 cape, 4411
Herb sack#Closed, 13226
Orange circle, 9601
Blue moon spear, 28988
Teacher wand, 6912
Blue d'hide body (g), 7374
Abyssal lantern#Oak, 26836
Herb tea mix#Guam, 4466
Ensouled giant head#Drop, 13474
Enchanted bar, 4007
Zealot's robe bottom, 25436
Onion &amp; tomato, 1875
Green d'hide vambraces, 1065
The great divide, 6079
Toxic naphtha, 6096
Verac's armour set, 12875
Antique lamp (elite), 13148
Green boots, 628
Slayer task/Vampyres, 24702
Amulet of strength, 1725
Musketeer tabard, 12441
Snothead's bone, 26589
Music hood, 13223
Green tricorn hat, 8960
Ice quartz, 28270
Team-46 cape, 4405
Verac's flail#Undamaged, 4755
Dragonfruit pie#Half, 22792
Rod of ivandis#(10), 7639
Pink dye, 6955
Arcane prayer scroll, 21079
Jar generator, 11258
Clue scroll (elite) - Reflection is the weakness for these eyes of evil, 19800
Xeric's aid#(4), 20980
Jungle camo top#Inventory, 10057
Big frog leg#Polished, 7910
Big bucket of camel milk, 26920
Super strength#(4), 2440
Bow-sword, 6818
Crystal legs (basic), 23892
Cicely, 20912
White gloves, 6629
Small chocolate egg, 22350
Adamant kiteshield (Money), 22149
20th anniversary cape, 25334
Ranger gloves, 19994
Tumeken's guardian#Akkhito, 27382
Ancient carcanet, 25694
Dragon knife (animation item)#Normal, 22812
Elite calamity breeches#Locked, 26760
Slayer task/Cave krakens, 3272
Steel kiteshield (HAM), 8758
Dragon claws (Last Man Standing), 20784
Clue scroll (easy) - Search the bookcase in the monastery, 12177
Frozen tablet, 28333
Wristbands of the arena#Normal, 26723
Craw's bow#Uncharged, 22547
Collection log (steel), 30583
Bullseye lantern#Unlit, 4548
Raw swamp paste, 1940
Dragon 2h sword (cr), 28051
Buttons, 688
Gregg's iou, 25608
Medium statue#Zamorak, 8083
Teddy, 673
Part wild pie (raw chompy), 7204
Fangs of venenatis, 27670
Clue scroll (easy) - Alone, 23160
Rada's census, 13524
Clue scroll (easy) - Search the boxes in one of the tents in Al Kharid, 3501
Mist rune, 4695
Run (unobtainable item), 10947
Admiral pie#Full, 7198
Oak pyre logs, 3440
Loar remains, 3396
Hex edit detected#Fish 1, 6189
Hex edit detected#Fish 2, 6190
Jug of blessed sunfire wine, 29384
Crystal felling axe#Inactive, 28223
Sigil of the meticulous mage#Un-attuned, 26003
Unstrung comp bow, 4825
Ensouled minotaur head#Item, 13457
Dead person, 22686
Clue scroll (hard) - HCKTA IQFHCVJGT, 19908
3/5ths full bucket, 3724
Fish barrel#Open, 25584
Raging echoes relic hunter (t2) armour set, 30334
Red topaz, 1613
Animate rock scroll, 4428
Chocchip crunchies, 2209
Green dragonhide, 1753
Bronze hasta#(p), 11379
Grimy tarromin, 203
Guanic bat (0), 20871
Hunter potion#(4), 9998
Team-43 cape, 4399
Graceful cape (Hosidius)#Inventory, 13629
Nasturtiums, 6012
Red spice#(3), 7481
Ahrim's hood#100, 4856
Clue scroll (medium) - Speak to Roavar, 3615
White bed sheets, 24297
Halloween scarecrow, 30234
Blessed pot#Complete, 4665
Moonlight antelope fur, 29174
Hunter potion#(3), 10000
Stone head#Camel, 6992
Red spice#(4), 7480
Green goblin mail, 9057
Graceful cape (Lovakengj)#Worn, 13606
Book of war (or), 26494
Unfired pot lid, 4438
Samurai kasa, 20035
Mithril scimitar, 1329
Megalite liquid#Unfinished, 30019
Mahogany display (fishing trophy), 30666
Infernal max cape#Broken, 21289
Rainbow jumper#Transgender, 28120
Vanguard judgement, 20895
Icon (The Heart of Darkness)#Earth, 29886
Iban's ashes, 1502
Super ranging#(2), 11724
Dark bow#Blue, 12766
Zamorak halo#Broken, 20539
Voidwaker hilt, 27681
Clue scroll (medium) - DT RUN B, 7274
Combat ring, 8025
Red spice#(1), 7483
Soiled page, 30068
Zaryte bow#Charged, 26239
Incomplete pizza, 2285
Repair plank (animation item), 7121
Harmony island teleport (tablet), 19625
Noxifer, 20902
Jar of spirits, 25521
Steel kiteshield (Guthix), 8756
Ash covered tome, 21697
Pirate leggings (beige), 7116
Super ranging#(3), 11723
Primordial boots, 13239
Red spice#(2), 7482
Bandos stole, 12269
Marinated j' bones#Burnt, 3130
Strength cape#Trimmed, 9751
Invitations, 30493
Unidentified small fossil, 21562
Vesta's plateskirt (bh)#Inactive, 27928
Bluegill, 22826
Iron warhammer, 1335
Shaman mask, 21838
Clue scroll (hard) - 05.50S 10.05E, 3530
Elder chaos top (Last Man Standing), 27174
Tall fancy hedge (bagged), 8447
Dart (unobtainable item), 7684
Wolfbone arrowtips, 2861
Orange triangle, 9602
White dagger#(unp), 6591
Primed bar, 9727
Rare fossilised skull, 21618
Super ranging#(1), 11725
Firemaking tome#Yellow, 7795
Part summer pie (strawberry), 7212
Empty oyster, 409
Ham shirt, 4298
Dragon claws, 13652
Rune kiteshield (Jogre), 8730
Santa suit (dry), 21868
Malumac's journal, 22037
Kebbit bolts, 10158
Monkey talisman, 4023
Magic cape#Untrimmed, 9762
Flower crown#Bisexual, 27141
Festive games crown, 27588
Mystic robe bottom (dusk), 23053
Unfinished cocktail (Choc saturday, historical)#Chocolate, 2068
Radimus notes#Complete, 715
Bandos boots (or), 26720
Potatoes#10, 5438
Spell (unobtainable item)#Energy Transfer, 9133
Steel dragon (Construction), 8142
Chef's delight (keg)#3 pints, 5831
Schematic (Dondakan), 4575
Ruby dragon bolts (e), 21944
Hoop and stick, 8162
Clue scroll (medium) - Speak to Kangai Mau, 3617
Clue scroll (medium) - 01.26N 08.01E, 2805
Echo venator bow ornament kit, 30432
Red icon#Long, 25230
Ladder top, 9655
Spicy minced meat, 9996
Clue scroll (elite) - Speak to a Wyse man, 12159
Revitalisation pool#Frozen, 20640
Monkey tail, 19610
Woodcutting tome#Yellow, 7798
Bolt rack, 4740
Jug of vinegar, 7810
Team-11 cape, 4335
Warning note, 27518
Oak dining table, 8116
Love crossbow, 28128
Blessed pot#Blood, 4661
Uncooked mushroom pie, 21684
Key print, 2423
Cooked crab meat#Four, 7523
Rainbow scarf#Transgender, 28110
Pet chaos elemental, 11995
Book of egg, 29433
Verac's helm#Undamaged, 4753
Rune arrow#(p), 893
Grimy snapdragon, 3051
Monkey dentures, 4006
Clue scroll (easy) - Strength potions with red spiders' eggs, 19817
Ancient halo#Locked, 24203
Trident of the swamp (e)#Charged, 22292
Ring of 3rd age, 23185
White cog, 20
Thin snail meat, 3369
Torva platebody#Restored, 26384
Powder grey pumpkin (2024 Halloween event)#Sad, 30229
Yommi tree seeds#Germinated, 736
Smiths gloves (i), 27031
Crab meat, 7518
Cape of skulls, 23351
Bearded gorilla bones, 3182
Swamp wallbeast (interface item), 4519
Ninja impling jar, 11254
Ancestral robe top, 21021
Door transcription, 9682
Brewer's folly, 23105
Yellow pumpkin (2024 Halloween event)#Happy, 30194
Uncooked botanical pie, 19656
Adventurer's trousers (t1), 27390
Lunar gloves, 9099
Healer icon#Long, 22311
Radiant oathplate legs, 30781
Stained glass#Zamorak, 8078
Wristbands of the arena (i)#Charged, 26729
Ancient d'hide body, 12492
Sigil of faith#Un-attuned, 28520
Ghost buster 500#Blue, 9908
Adamant bolts#Unpoisoned, 9143
Adventurer's trousers (t2), 27398
Parchment (Olaf's Quest), 11036
Dragon boots (g), 22234
Monkey corpse, 3166
Pipe section, 8930
Spell (unobtainable item)#Fishing Guild Teleport, 9127
Bananas#(1), 5408
Farmer's boots#Female, 13645
Senntisten teleport (tablet), 12782
Uncharged cell (Desert Treasure II), 28402
Infernal max cape (animation item), 21284
Sigil of the ninja#Un-attuned, 28526
Olmlet#Vanguard, 22380
Stuffed snake, 7579
Blade of saeldor (c) (Trahaearn), 25874
Condensed gold, 26266
Clue scroll (master) - Blow a kiss outside K'ril Tsutsaroth's chamber, 19835
Cat#Grey and black, 1561
Raw fish pie, 7186
Adventurer's trousers (t3), 27406
Thammaron's sceptre#Uncharged, 22552
Phren bark, 23878
Bananas#(2), 5410
Grimy dwarf weed, 217
Shadow key#Purple, 28370
Slayer task/Jellies, 4142
Lunar legs, 9098
Yew logs, 1515
Clue scroll (medium) - Cry in the Draynor Village jail, 19780
Rune dart#(p), 817
Desert camo top#Inventory, 10061
Stuffed abyssal head, 7986
Opulent curtains#Christmas, 8324
Dragon arrow#(p), 11227
Steel bolts#Poison, 9288
Archery target, 8164
Valuables, 29332
Servery stew, 13418
Bronze gloves, 7454
Twisted mithril trophy, 24378
Pink robe bottoms, 646
Trailblazer reloaded blowpipe ornament kit, 28690
Demon dung, 30747
Teak toy box#Closed, 9837
Receipt (A Kingdom Divided), 25793
Red robe bottoms, 2908
Seasoned sardine, 1552
Wooden workbench, 8375
Demon lectern, 8336
Fake beak, 10172
Infernal plate, 30864
Portal talisman (fire), 26890
Earth rune (nz), 11717
Mind rune pack, 12736
Zaryte crossbow, 26374
Dwarf cake, 27801
Wooden drawers (Mahogany Homes), 24926
Golden prospector boots, 25555
Void knight top#Normal, 8839
Healer icon#Vizier, 23486
Broad arrowhead pack, 11885
Clue scroll (medium) - 07.33N 15.00E, 2821
Pineapple sapling, 5500
Clue scroll (medium) - 00.31S 17.43E, 2819
Clue scroll (hard) - Dig in the lair of red wings, 25791
Ghoul bone#Unpolished, 7881
Golovanova seed, 13423
Stool (Games)#Games Zone, Pubs, 25710
Glassblowing book, 11656
Hydra's claw, 22966
Glorious arena, 12720
Socks of ruin, 27436
Ahrim's staff (Last Man Standing), 23653
Adamant arrowtips, 43
Truth serum (While Guthix Sleeps), 29532
Lederhosen hat, 6182
Steel axe head, 512
Duradel's notes, 29596
Mithril bolts#Poison++, 9303
Spell (unobtainable item)#Iban Blast, 3299
Clue scroll (elite) - Dig under Razorlor's toad batta, 19810
Dragon hasta#(kp), 22743
Powder grey pumpkin#Shocked, 30298
Extended antifire#(4), 11951
Hag's poison, 4604
Gilded altar#Zamorak, 8068
Crystal shield (i)#2/10, 11768
Bandos mitre, 12271
Karamjan monkey greegree, 4031
Clean necklace, 11195
Waterbirth teleport (tablet), 24953
Hydra slayer helmet, 23073
Dragon defender (Last Man Standing), 23597
Dizana's max hood, 28904
Robe top of darkness, 20131
Hazeel's mark, 2406
Burnt fox meat, 29161
Unstrung emblem, 1720
Jangerberry seed, 5104
Fillets, 10969
Orange sapling, 5498
Magic tree (Construction), 8179
Teak bed, 8034
Prospector jacket, 12014
Maple longbow (u), 62
Clue scroll (easy) - The Forlorn Homestead, 23156
Raw guppy, 25652
Clue scroll (easy) - Speak to The Lady of the Lake, 12190
Steel bar, 2353
Classic imp hood, 30648
Mystic hat (dark), 4099
Graceful boots (Adventurer)#Worn, 27461
Criminal's dagger#Dusted, 1814
Scroll box (master), 24366
Extended antifire#(1), 11957
Stone left leg, 6999
Portal talisman (nature), 26897
Halberd (unobtainable item), 1413
Noxifer seed, 20903
Stone right arm, 6998
Uri's hat, 23255
Ribcage piece, 6165
Clue scroll (medium) - Jump for joy in the TzHaar sword shop, 12029
Adamant mace, 1430
Armadyl armour ornament kit, 26713
Spell (unobtainable item)#Tele Group Ice Plateau, 9132
Berserker ring (i)#Soul Wars, 25264
Spell (unobtainable item)#Vulnerability, 3317
Ogre arrow shaft, 2864
Yellow feather, 10090
Thieving bag, 23224
Gilded magic wardrobe#Open, 8044
Sigil of the food master#Attuned, 28495
Rune dagger#(p), 1229
Clue scroll (elite) - 05.18N 06.48W, 23770
Woodcutting hood, 9809
Slayer helmet (i)#Nightmare Zone, 11865
Bank key#4th, 13305
Grim reaper's diary, 12836
Steel locks, 25445
Venator ring, 28310
Extended antifire#(3), 11953
Hourglass (Recruitment Drive), 5610
Antique lamp (hard), 13147
Arceuus scarf, 19943
Moonrise wines (book), 30035
Snow sprite (item), 21864
Clue scroll (hard) - Panic outside the Twilight Temple, 29859
Sigil of the infernal chef#Attuned, 28501
Funky shaped log, 28138
Broken pole, 4496
A powdered wig, 10392
Ground ashes, 8865
Extended antifire#(2), 11955
Clue scroll (medium) - Dance in the dark caves beneath Lumbridge Swamp, 12021
Heavy ballista, 19481
Dragon axe head, 6743
Abyssal lantern#Red, 26828
Crystal halberd (historical)#4/10, 13098
Shattered cannon ornament kit, 26528
Zamorak d'hide boots, 19936
Amulet of holthion, 1499
Clue scroll (medium) - CLASH ION, 23131
